   tṛtīya ucchvāsaḥ	tRtIyaH ucCvAsaH
   nijavarṣāhitasnehā bahubhaktajanānvitāḥ /	nija-varzA-hita-snehAH bahu-Bakta-jana-anvitAH /
   sukālā iva jāyante prajāpuṇyena bhūbhujaḥ // 3.1 //	su-kAlAH iva jAyante prajA-puNyena BUBujaH // 3.1 //
   sādhūnāmupakartu lakṣmīṃ draṣṭuṃ vihāyasā gantum/	sADUnAm-upakartu lakzmIm drazwum vihAyasA gantum/
   na kutūhalikasyamanaścaritaṃ ca mahātmanāṃ śrotum // 3.2 //	na kutUhalikasyamanaH-caritam ca mahAtmanAm Srotum // 3.2 //
   atha kadācidviralitabalāhake, cātakātaṅkakāriṇi kvaṇatkādambe,	aTa kadAcid-viralita-balAhake, cAtaka-AtaFka-kAriNi kvaNat-kAdambe,
   darduradveṣa mayūramadamuṣi, haṃsapathikasārthasarvātithau,	dardura-dveza mayUra-mada-muzi, haMsa-paTika-sArTa-sarva-atiTO,
   dhautāsinibhanabhasi, bhāsvarabhāsvati, śuciśaśini, taruṇatārāgaṇe,	DOta-asi-niBa-naBasi, BAsvara-BAsu-ati, Suci-SaSini, taruNa-tArA-gaNe,
   galatsunāsīraśarāsane, sīdatsaudāmanīdāmni, dāmodaranidrādruhi,	galat-sunA-sIra-SarAsane, sIdat-sOdAmanI-dAmni, dAmodara-nidrA-druhi,
   drutavaidūryavarṇārṇasi ghūrṇamānamihikālaghumeghamoghamaghavati,	druta-vEdUrya-varNa-arNasi GUrNamAnam-ihikA-laGu-meGa-moGam-aGavati,
   nimīlannīpe, niṣkusumakuṭaje, nirmukulakandale, komalakamale,	nimIlat-nIpe, nizkusuma-kuwaje, nirmukula-kandale, komala-kamale,
   madhusyandīndīvare, kahlārāhlādini, śephālikāśītalīkṛtaniśe,	maDusyandI-indIvare, kahlAra-ahlAdini, SePAlikA-SItalIkRta-niSe,
   yūthikāmodini, modamānakumudāvadātadaśadiśi,	yUTika-Amodini, modamAna-kumuda-avadAta-daSa-diSi,
   saptacchadadhūlidhūsaritasamīre,	saptacCada-DUli-DU-sarita-samIre,
   svabakilabandhurabandhūkāvadhyamānākāṇḍasadhye, nīrājitavājini,	sva-bakila-banDura-banDUka-avaDyamAnA-kANxa-saDye, nIrAjita-vAjini,
   uddāmadantini darpakṣībaukṣake, kṣīyamāṇapaṅkacakravāle,	uddAmadantini darpakzI-bOkzake, kzIyamANa-paFka-cakravAle,
   bālapulinapallavitasindhurodhasi, pariṇāmāśyānaśyāmāke,	bAla-pulina-pallavita-sinDu-roDasi, pariNAma-aSyAna-SyAmAke,
   janitapriyaṅgamañjarīrajasi, kaṭhoritatrapusatvaci, kusumasmeraśare,	janita-priyaFga-maQjarI-rajasi, kaWorita-trapusatvaci, kusuma-smera-Sare,
   śaratsamayārambhe rājñaḥ samīpādvāṇo bandhūndraṣṭuṃ punarāpi taṃ	Sarad-samaya-AramBe rAjQaH samIpAt-vANaH banDUn-drazwum punar-A-api tam
   brāhnaṇādhivāsamagāt /	brAhnaNa-aDivAsam-agAt /
   samupalabdhabhūpālasaṃmānātiśayaparituṣṭāstvasya jñātayaḥ ślāghamānā	samupalabDa-BUpAla-saMmAna-atiSaya-parituzwAH-tu-asya jQAtayaH SlAGamAnA
   niryayuḥ /	niryayuH /
   krameṇa ca kāṃścidabhivādayamānaḥ, kaścidabhivādyamānaḥ, kaiścicchirasi	krameNa ca kAMScid-aBivAdayamAnaH, kaScid-aBivAdyamAnaH, kEScid-Sirasi
   cumbyamānaḥ, kāṃścinmūrdhni samājighran, kaiścidāliṅgyamānaḥ,	cumbyamAnaH, kAMScid-mUrDni samAjiGran, kEScid-AliFgyamAnaH,
   kāṃścidāliṅgan, anyairāśiṣānugṛhyamāṇaḥ, parānanugṛhṇan,	kAMScid-AliFgan, anyEH-ASiza-anugRhyamANaH, parAn-anugRhNan,
   bahubandhumadhyavartī paraṃ mumude /	bahu-banDu-maDya-vartI param mumude /
   saṃbhrāntaparijanopanītaṃ cāsanamāsīnaṣu guruṣu bheje /	saMBrAnta-parijana-upanItam ca-Asanam-AsInazu guruzu Beje /
   bhajamānaścārcādisatkāraṃ nitarāṃ nananda /	BajamAnaH-ca-arca-Adi-satkAram nitarAm nananda /
   prīyamāṇena ca manasā sarvāṃstānparyapṛcchart--"kāccadetāvato divasānsu	prIyamANena ca manasA sarvAn=-tAn-paryapRt-Sart---"kAt-cad-etAvataH divasAn-su
