   vāyavīyasaṃhitā	vAyavIya saMhitA
   atha śrīśivamahāpurāṇe saptamī vāyavīyasaṃhitā prārabhyate ||	aTa SrI Siva mahApurANe saptamI vAyavIya saMhitA prAraByate ||
   śrīgaṇeśāya namaḥ ||	SrI gaNeSAya namaH ||
   śrīgaurīśaṃkarābhyāṃ namaḥ ||	SrI gOrI SaMkarAByAm namaH ||
   atha saptamī vāyavīyasaṃhitā prārabhyate ||	aTa saptamI vAyavIya saMhitA prAraByate ||
   Chapter 1	ChapteH 1
   vyāsa uvāca	vyAsaH uvAca
   namaśśivāya somāya sagaṇāya sasūnave // ŚivP_7.1,1.1ab/	namaH SivAya somAya sa gaNAya sa sUnave // ŚivS _7.1,1.1ab/
   pradhānapuruṣeśāya sargasthityaṃtahetave // ŚivP_7.1,1.1cd/	praDAna puruza ISAya sarga sTiti aMta hetave // Śivj _7.1,1.1cd/
   śaktirapratimā yasya hyaiśvaryaṃ cāpi sarvagam // ŚivP_7.1,1.2ab/	SaktiH apratimA yasya hi ESvaryam ca api sarvagam // ŚivS _7.1,1.2ab/
   svāmitvaṃ ca vibhutvaṃ ca svabhāvaṃ saṃpracakṣate // ŚivP_7.1,1.2cd/	svAmi tvam ca viBu tvam ca svaBAvam saMpracakzate // Śivj _7.1,1.2cd/
   tamajaṃ viśvakarmāṇaṃ śāśvataṃ śivamavyayam // ŚivP_7.1,1.3ab/	tam ajam viSvakarmANam SASvatam Sivam avyayam // ŚivS _7.1,1.3ab/
   mahādevaṃ mahātmānaṃ vrajāmi śaraṇaṃ śivam // ŚivP_7.1,1.3cd/	mahAdevam mahAtmAnam vrajAmi SaraNam Sivam // Śivj _7.1,1.3cd/
   dharmakṣetre mahātīrthe gaṃgākāliṃdisaṃgame // ŚivP_7.1,1.4ab/	Darma kzetre mahA tIrTe gaMgAkA AliMdi saMgame // ŚivS _7.1,1.4ab/
   prayāge naimiṣāraṇye brahmalokasya vartmani // ŚivP_7.1,1.4cd/	prayAge nEmiza araNye brahma lokasya vartmani // Śivj _7.1,1.4cd/
   munayaśśaṃsitātmānaḥ satyavrataparāyaṇāḥ // ŚivP_7.1,1.5ab/	munayaH SaMsita AtmAnaH satya vrata parAyaNAH // ŚivS _7.1,1.5ab/
   mahaujaso mahābhāgā mahāsatraṃ vitenire // ŚivP_7.1,1.5cd/	mahA ojasaH mahABAgAH mahAsatram vitenire // ŚivS _7.1,1.5cd/
   tatra satraṃ samākarṇya teṣāmakliṣṭakarmaṇām // ŚivP_7.1,1.6ab/	tatra satram samAkarNya tezAm aklizwa karmaNAm // ŚivS _7.1,1.6ab/
   sākṣātsatyavatīsūnorvedavyāsasya dhīmataḥ // ŚivP_7.1,1.6cd/	sAkzAt satyavatI sUnoH vedavyAsasya DImataH // Śivj _7.1,1.6cd/
   śiṣyo mahātmā medhāvī triṣu lokeṣu viśrutaḥ // ŚivP_7.1,1.7ab/	SizyaH mahAtmA meDAvI trizu lokezu viSrutaH // ŚivS _7.1,1.7ab/
   pañcāvayavayuktasya vākyasya guṇadoṣavit // ŚivP_7.1,1.7cd/	paQca avayava yuktasya vAkyasya guNa doza vid // Śivj _7.1,1.7cd/
