   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   śrīrādhādāmodarābhyāṃ namaḥ1	SrI-rADA-dAmodarAByAm namaH1
   śrī-kṛṣṇa kṛṣṇa-caitanya sa-sanātana-rūpaka |	SrI--kRzNa kRzNa--cEtanya sa-sanAtana--rUpakaH |
   gopāla raghunāthāpta vraja-vallabha pāhi mām ||1||2	gopAla raGunA-aTa-Apta vraja-vallaBa pAhi mAm ||1||2
   nanda-nandana ity uktas trailokyānanda-vardhanaḥ |	nanda-nandanaH iti uktaH trElokya-Ananda-varDanaH |
   anādi-janma-siddhānāṃ gopīnāṃ patir eva yaḥ3 ||2	anAdi-janma-sidDAnAm gopInAm patiH eva yaH3 ||2
   navīna-nīrada-śyāmaṃ taṃ rājīva-vilocanam |	navIna-nIrada--SyAmam tam rAjIva--vilocanam |
   vallavī-nandanaṃ vande kṛṣṇaṃ gopāla-rūpinam ||3	vallavI--nandanam vande kRzNam gopAla--rUpinam ||3
   [yugmam]4	[yugmam]4
   vṛndāraṇye jaran jīvaḥ kaścit prāha manaḥ prati |	vRnda-araNye jaran jIvaH kaScid prAha manaH prati |
   mriyase sāmprataṃ5 mūḍhaḥ gūḍhām etāṃ sudhāṃ piba ||4	mriyase sAmprataM5 mUXaH gUXAm etAm suDAm piba ||4
   tāṃ pibann eva he svānta svaṃ ca gokula-saṅgatam |	tAm piban eva he svAnta svam ca go-kula--saFgatam |
   sevāṃ ca vāñchitāṃ kāñcid bhāva-bhedena bhāvaya ||5	sevAm ca vAQCitAm kAQcid BAva--Bedena BAvaya ||5
   maṅgalaḥ sarva-lokānāṃ gopa-kṣauṇībhṛd-aṅgajaḥ |	maFgalaH sarva--lokAnAm gopa--kzONIBRt--aFga-jaH |
   bhavyaṃ pallavayan pāyād vallavī-jana-vallabhaḥ ||6	Bavyam pallavayan pAyAt valla-vI--jana-vallaBaH ||6
   aho bakīty6 ādikīrtiḥ kṛṣṇas tu bhagavān svayam |7	aho bakIty6 AdikIrtiH kRzNaH tu BagavAn svayam |7
   asti yas tasya pitrāditayā citrāya k ptavān ||7	asti yaH tasya pitR-Adi-tayA citrAya k ptavAn ||7
   stutas tad bhūribhāgyeti8 tathā cetthaṃ satām iti9 |	stutaH tat BUri-BAgyA-iti8 taTA ca-itTam satAm iti9 |
   nemaṃ viriñca ity10evaṃ nāyaṃ śriya iti11 vrajaḥ ||8	na-imam viriQcaH iti-10evam na-ayam SriyaH iti11 vrajaH ||8
   yas taṃ ko vāśrayen nātra kṣitāv indriyavān naraḥ |	yaH tam kaH vA-ASrayet na-atra kzitO indriyavAn naraH |
   tasmād bhrātar nija-trātaḥ svānta svāntas tam āśraya ||9	tasmAt BrAtar nija-trAtaH svAnta svAntaH tam ASraya ||9
   [tribhiḥ kulakam]	[triBiH kulakam]
   upadeśaṃ deśa-rūpaṃ mama mānaya mānasa |	upadeSam deSa-rUpam mama mAnaya mAnasaH |
   sudhā-dhārā-dharaḥ so'yaṃ kalpaḥ syāt kalpa-bhūruhaḥ ||10||	suDA-a-DArA--DaraH saH-ayam kalpaH syAt kalpa-BUruhaH ||10||
   mūlaṃ janmādi-līlāsya skandhaḥ syān nitya-līlatā |	mUlam janma-Adi-lIlA-asya skanDaH syAt nitya-lIlatA |
   śākhās tat-tad-ṛtu-ślokāḥ phalaṃ premamayī sthitiḥ ||11||	SAKAH tat-tad--Rtu-SlokAH Palam prema-mayI sTitiH ||11||
   atha mahā-kulakena janmādi-līlā ||	aTa mahA-kulakena janma-Adi-lIlA ||
   yas tantramantrayor guptam uktaḥ śrīnandanandanaḥ |	yaH tantra-mantrayoH guptam uktaH SrI-nanda-nandanaH |
   tadrūpatāṃ nijāṃ vyāñjīt kutaścit kutukād bhuvi ||12||	tad-rUpa-tAm nijAm vyAQjIt kutaScid kutukAt Buvi ||12||
   yaḥ prāg iti12 hi padyābhyāṃ nandātmajatayā svataḥ |	yaH prAk iti12 hi padyAByAm nanda-Atmaja-tayA svatas |
   vāsudevatayā kāryavaśād gargeṇa niścitaḥ ||13||	vAsudevatayA kArya-vaSAt gargeNa niScitaH ||13||
   1. (b) śrī-śrī-rādhā-kṛṣṇābhyāṃ namaḥ; 2. Gcp 1v1; 3. GautT. 2.24; there:	1. (b) SrI--SrI-rADA--kRzNAByAm namaH; 2. Gcp 1v1; 3. GOtT. 2.24; Tere:
   aneka-janma-śuddhānām, Gcp 15.72 aneka-janma-siddhānāṃ; 4. (b) not found;	aneka--janma--SudDAnAm, Gcp 15.72 aneka--janma-sidDAnAM; 4. (b) na-ut found;
   5. (b) mriyate 'sāmpratam; 6, BhP iii.2.23; 7. BhP i.3.28||; 8. BhP	5. (b) mriyate asAm-pratam; 6, BhP iii.2.23; 7. BhP i.3.28||; 8. BhP
   x.14.34||; 9. BhP x.12.11; 10. BhP x.9.20; 11. BhP x.47.60; 12. BhP x.8.14	x.14.34||; 9. Bhj x.12.11; 10. Bhj x.9.20; 11. Bhj x.47.60; 12. Bhj x.8.14
   yaḥ śrī-nanda-yaśodāntar-hṛdi sphūrtiṃ gatas tataḥ |	yaH SrI-nanda-yaSoda-antar--hRdi sPUrtim gataH tatas |
   udyaṃś cakre dugdha-sindhor indor janma-viḍambanam ||14||	udyan cakre dugDa-sinDoH indoH janma--vixambanam ||14||
   yaḥ sarva-rddhi-vrajaṃ nanda-vrajaṃ svaṃ janma-mātrataḥ |	yaH sarva-rdDi-vrajam nanda-vrajam svam janma--mAtrataH |
   ramāṇāṃ jāyamānānām ārāmaṃ1 dhāma nirmame ||15||	ramANAm jAyamAnAnAm ArAmaM1 DAma nirmame ||15||
   yaḥ sva-mādhurya-pīyūṣaṃ sampūrya2 pariveśayan |	yaH sva--mADurya-pIyUzam sampUrya2 pariveSayan |
   jigāya mohinī-rūpaṃ kṣīra-nīradhi-tīragam ||16||	jigAya mohinI--rUpam kzIra--nIraDi--tIra-gam ||16||
   yaḥ kṛpāṃ janmanā vyañjan pūtanām api pūtatām |	yaH kRpAm janmanA vyaQjan pUtanAm api pUta-tAm |
   nītāṃ dhātrī-gatiṃ sphītāṃ cākārṣīn nūtanārbhakaḥ ||17||3	nItAm DAtrI--gatim sPItAm ca-akArzIt nUtana-arBakaH ||17||3
   yaḥ komala-padāgreṇa śakaṭaṃ tad viśaṅkaṭam |	yaH komala--pada-agreNa Sakawam tat viSaFkawam |
   sva-jyotsnāvaraṇaṃ matvā cikṣepākṣepavān iva ||18||	sva--jyotsnA-AvaraNam matvA cikzepa-AkzepavAn iva ||18||
   yaḥ pūjita-pada-kṣepa-kūjita-smita-rociṣām |	yaH pUjita-pada-kzepa--kUjita-smita--rocizAm |
   śobhayā lobhayāmāsa bālikāḥ kula-pālikāḥ ||19||	SoBayA loBayAmAsa bAlikAH kula-pAlikAH ||19||
