   Śaraṇagamanadeśanā	ŚaraNa gamana deSanA
   namo ratnatrayāya	namaH ratnatrayAya
   tryapāyapañcayonīnāṃ sarvaduḥkhavighātakam /	tri apAya paQca yonInAm sarva duHKa viGAtakam /
   śreyo 'bhyudayasaukhyānāṃ dātāraṃ praṇamāmi tam // 1 //	SreyaH aByudaya sOKyAnAm dAtAram praNamAmi tam // 1 //
   atra śaraṇagamanamabhidhāsye / samāsataḥ /	atra SaraNa gamanam aBiDAsye / samAsatas /
   adhiṣṭhānasthitī cintā kālaprakṛtimānakam /	aDizWAna sTitI cintA kAla prakRti mAnakam /
   nayaḥ śikṣā niruktiśca karmaupamyavibhaktayaḥ /	nayaH SikzA niruktiH ca karma Opamya viBaktayaH /
   ādīnavārthaśaṃsāśca proktāḥ pañcadaśa kramāt // 2 //	AdInava arTa SaMsAH ca proktAH paQcadaSa kramAt // 2 //
   tatra adhiṣṭhānapudgalastu dvividhaḥ  mahāyānagotrīyo hīnayānagotrīyaśca /	tatra aDizWAna pudgalaH tu dviviDaH mahAyAna gotrIyaH hIna yAna gotrIyaH ca /
   sthitirdvividhā  mahā hīna yānabhedataḥ / tatraivaṃ hi tāvad	sTitiH dviviDA mahA  hIna yAna BedataH / tatra evam hi tAvat 
   mahāyānaśāstreṣu ratnatrayam  tathatāratnatrayam, abhisamayaratnatrayaṃ,	mahAyAna SAstrezu ratna trayam taTatA ratna trayam, aBisamaya ratna trayaM,
   sammukhasthaṃ ca ratnatrayam /	sammuKa sTam ca ratna trayam /
   taccaivam  jñeyāviparyastajñānam, nirvikalpādvayajñānam,	tat ca evam jQeyA viparyasta jQAnam, nirvikalpA dvaya jQAnam,
   dharmadhātvavasthitatvaṃ ca / tadeva viśuddha dharmadhātuprajñāpāramitā,	DarmaDAtu avasTita tvam ca / tat eva viSudDa  DarmaDAtu prajQApAramitA,
   samāhitāvasthāyāṃ gaganatalavat samastadharmasākṣātkāriṇyāṃ mahābhūmau	samAhita avasTAyAm gagana tala vat samasta Darma sAkzAt kAriNyAm mahA BUmO
   avasthitāḥ bodhisattvāśca (tathatāratnatrayam) /	avasTitAH boDisattvAH ca (taTa tA ratna trayam) /
   atha caivaṃ  dvividho rupakāyaḥ ,	aTa ca evaM dviviDaH rupa kAyaH ,
   santānāvasthitāścatuḥsatya saptatriṃśadbodhipākṣikadharma bhūmi pāramitādayo	santAna avasTitAH catur satya  saptatriMSat boDi pAkzika Darma  BUmi  pAramitAdayaH 
   dharmāḥ, prayogamārgīyāśca bodhisattvāḥ /	DarmAH, prayoga mArgIyAH ca boDisattvAH /
   punaścaivam  citrāṅkitatotkīrṇaniṣiktamṛṇmayādi (buddhapratimādi)  	punar ca evam citra aFkita tA utkIrNa nizikta mRNmayA Adi (budDa pratimA Adi)  
   navāṅgapravacanamayapothīpustakādi, saṃbhāramārgīyāśca bodhisatvāḥ /	nava aFga pravacana maya poTI pustaka Adi, saMBAra mArgIyAH ca boDisatvAH /
   hīnayānaśāstraṃ tāvat 	hIna yAna SAstram tAvat  
   buddhasaṃghakarāndharmān aśaikṣānubhayāṃśca saḥ /	budDa saMGa karAn DarmAn aSEkza anuBayAn= ca saH /
   nirvāṇaṃ ceti śaraṇaṃ yo yāti śaraṇatrayam // 3 // iti /	nirvANam ca iti SaraNam yaH yAti SaraNa trayam // 3 // iti /
   tatra āśayo mahāyānināntu aśeṣasattvārthacintanam / itarasya ca	tatra ASayaH mahA yAnina antu aSeza sattva arTa cintanam / itarasya ca
   ātmārthameva cintanam /	Atma arTam eva cintanam /
   tatra avadhirmahāyānināntu bodhimaṇḍaparyantam / itarasya tu yāvajjīvanaṃ	tatra avaDiH mahA yAnina antu boDimaNxa paryantam / itarasya tu yAvat jIvanam
   pratijñā /	pratijQA /
   tatra svabhāvo hrī apatrapāyuktatā avijñaptpādaśca /	tatra svaBAvaH hrI a patra pA yukta tA avijQaptpAdaH ca /
   tatra mānaṃ tu svīkaraṇam, śaraṇakaraṇaṃ vijñaptyutpādaśca /	tatra mAnam tu svIkaraNam, SaraNa karaNam vijQapti utpAdaH ca /
   tatra nayastu śaraṇagamanavidhiḥ / sa ca guroravagantavyaḥ /	tatra nayaH tu SaraNa gamana viDiH / sa ca guroH avagantavyaH /
   tatra śikṣā sādhāraṇī asādhāraṇī ca gurupādebhyo jñeyā /	tatra SikzA sADAraNI asADAraNI ca guru pAdeByaH jQeyA /
   tatra niruktistu dāsabhāvaḥ taditarasvāminamananviṣya śaraṇagamanam /	tatra niruktiH tu dAsa BAvaH tat itara svAminam ananvizya SaraNa gamanam /
   tatra kāritraṃ tu bodhicittamahāvṛkṣotpādasya mūlatvam, mokṣamahānagarasya	tatra kAritram tu boDi citta mahA vRkza utpAdasya mUla tvam, mokza mahA nagarasya
   praveśadvāratvam, upavāsādisarvasaṃvarāṇām āśrayatvam /	praveSa dvAra tvam, upavAsa Adi sarva saMvarANAm ASraya tvam /
   tatraupamyaṃ tāvad rājñaḥ mantriṇo vā prajāgaṇasya tadvacanānatikramaṇam,	tatra Opamyam tAvat rAjQaH mantriNaH vA prajA gaNasya tad vacana anatikramaNam,
   tadārādhanamiva ca /	tad ArADanam iva ca /
   tatra bhedastu sādhāraṇāsādhāraṇatvena viśiṣṭaḥ /	tatra BedaH tu sADAraNA sADAraNa tvena viSizwaH /
