   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   śrīdevy uvāca	SrI-devI uvAca
   brūhi me jagatāṃ nātha sarvavidyāmaya prabho /	brUhi me jagatAm nATa sarva-vidyA-maya praBo /
   mahāvidyāsu sarvāsu pūjyāsu bhuvanatraye // ToT_1.1 //	mahAvidyAsu sarvAsu pUjyAsu Buvanatraye // ToT_1.1 //
   etāsāṃ dakṣiṇe bhāge nānārūpaṃ pinākadhṛk /	etAsAm dakziNe BAge nAnA-rUpam pinAkaDRk /
   pṛthak pṛthak mahādeva kathayasva mayi prabho // ToT_1.2 //	pRTak pRTak mahAdeva kaTayasva mayi praBo // ToT_1.2 //
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu cārvaṅgi subhage kālikāyāśca bhairavam /	SRNu cAru-aFgi suBage kAlikAyAH-ca BEravam /
   mahākālaṃ dakṣiṇāyā dakṣabhāge prapūjayet // ToT_1.3 //	mahAkAlam dakziNAyAH dakza-BAge prapUjayet // ToT_1.3 //
   mahākālena vai sārdhaṃ dakṣiṇā ramate sadā /	mahAkAlena vE sArDam dakziNAH ramate sadA /
   tārāyā dakṣiṇe bhāge akṣobhyaṃ paripūjayet // ToT_1.4 //	tArAyAH dakziNe BAge akzoByam paripUjayet // ToT_1.4 //
   samudramathane devi kālakūṭaṃ samutthitam /	samudra-maTane devi kAlakUwam samutTitam /
   sarve devāḥ sadārāśca mahākṣobham avāpnuyuḥ // ToT_1.5 //	sarve devAH sa-dArAH-ca mahA-kzoBam avApnuyuH // ToT_1.5 //
   kṣobhādirahitaṃ yasmāt pītaṃ hālāhalaṃ viṣam /	kzoBa-Adi-rahitam yasmAt pItam hAlAhalam vizam /
   ata eva maheśāni akṣobhyaḥ parikīrtitaḥ // ToT_1.6 //	atas eva maheSAni akzoByaH parikIrtitaH // ToT_1.6 //
   tena sārdhaṃ mahāmāyā tāriṇī ramate sadā /	tena sArDam mahAmAyA tAriNI ramate sadA /
   mahātripurasundaryā dakṣiṇe pūjayecchivam // ToT_1.7 //	mahA-tripurasundaryAH dakziNe pUjayet-Sivam // ToT_1.7 //
   pañcavaktraṃ trinetraṃ ca prativaktre sureśvari /	paQcavaktram trinetram ca prativaktre sureSvari /
   tena sārdhaṃ mahādevī sadā kāmakutūhalā // ToT_1.8 //	tena sArDam mahAdevI sadA kAma-kutUhalAH // ToT_1.8 //
   ata eva maheśāni pañcamīti prakīrtitā /	atas eva maheSAni paQcamI-iti prakIrtitA /
   śrīmadbhuvanasundaryā dakṣiṇe tryambakaṃ yajet // ToT_1.9 //	SrImat-BuvanasundaryAH dakziNe tryambakam yajet // ToT_1.9 //
   svarge martye ca pātāle yā cādyā bhuvaneśvarī /	svarge martye ca pAtAle yA ca-AdyAH BuvaneSvarI /
   etāsu ramate yena tryambakastena kathyate // ToT_1.10 //	etAsu ramate yena tryambakaH-tena kaTyate // ToT_1.10 //
   saśaktiśca samākhyātaḥ sarvatantraprapūjitaḥ /	sa-SaktiH-ca samAKyAtaH sarva-tantra-prapUjitaH /
   bhairavyā dakṣiṇe bhāge dakṣiṇāmūrtisaṃjñakam // ToT_1.11 //	BEravyAH dakziNe BAge dakziNAmUrti-saMjQakam // ToT_1.11 //
   pūjayet parayatnena pañcavaktraṃ tameva hi /	pUjayet para-yatnena paQcavaktram tam-eva hi /
   chinnamastādakṣiṇāṃśe kabandhaṃ pūjayecchivam // ToT_1.12 //	Cinnam-astA-dakziNa-aMSe kabanDam pUjayet-Sivam // ToT_1.12 //
   kabandhapūjanāddevi sarvasiddhīśvaro bhavet /	kabanDa-pUjanAt-devi sarva-sidDi-ISvaraH Bavet /
   dhūmāvatī mahāvidyā vidhavārūpadhāriṇī // ToT_1.13 //	DUmAvatI mahAvidyA viDavA-rUpa-DAriNI // ToT_1.13 //
   vagalāyā dakṣabhāge ekavaktraṃ prapūjayet /	vagalAyAH dakza-BAge eka-vaktram prapUjayet /
   mahārudreti vikhyātaṃ jagatsaṃhārakārakam // ToT_1.14 //	mahArudrA-iti viKyAtam jagat-saMhAra-kArakam // ToT_1.14 //
   mātaṃgīdakṣiṇāṃśe ca mataṃgaṃ pūjayecchivam /	mAtaMgI-dakziNa-aMSe ca mataMgam pUjayet-Sivam /
   tameva dakṣiṇāmūrtiṃ jagadānandarūpakam // ToT_1.15 //	tam-eva dakziNAmUrtim jagat-Ananda-rUpakam // ToT_1.15 //
   kamalāyā dakṣiṇāṃśe viṣṇurūpaṃ sadāśivam /	kamalAyAH dakziNa-aMSe vizNu-rUpam sadASivam /
   pūjayet parameśāni sa siddho nātra saṃśayaḥ // ToT_1.16 //	pUjayet parameSAni sa sidDaH na-atra saMSayaH // ToT_1.16 //
