   BhP_09.01.001/0 śrīrājovāca	BhP_09.01.001/0 SrI-rAjA-uvAca
   BhP_09.01.001/1 manvantarāṇi sarvāṇi tvayoktāni śrutāni me	Bhu-_09.01.001/1 manvantarANi sarvANi tvayA-uktAni SrutAni me
   BhP_09.01.001/2 vīryāṇyanantavīryasya harestatra kṛtāni ca	Bhu-_09.01.001/2 vIryANi-ananta-vIryasya hareH-tatra kRtAni ca
   BhP_09.01.002/1 yo 'sau satyavrato nāma rājarṣirdraviḍeśvaraḥ	Bhu-_09.01.002/1 yaH asO satyavrataH nAma rAjarziH-dravixeSvaraH
   BhP_09.01.002/2 jñānaṃ yo 'tītakalpānte lebhe puruṣasevayā	Bhu-_09.01.002/2 jQAnam yaH atIta-kalpa-ante leBe puruza-sevayA
   BhP_09.01.003/1 sa vai vivasvataḥ putro manurāsīditi śrutam	Bhu-_09.01.003/1 sa vE vivasvataH putraH manuH-AsIt-iti Srutam
   BhP_09.01.003/2 tvattastasya sutāḥ proktā ikṣvākupramukhā nṛpāḥ	Bhu-_09.01.003/2 tu-attaH-tasya sutAH proktAH ikzvAku-pramuKAH nRpAH
   BhP_09.01.004/1 teṣāṃ vaṃśaṃ pṛthag brahman vaṃśānucaritāni ca	Bhu-_09.01.004/1 tezAm vaMSam pRTak brahman vaMSAnucaritAni ca
   BhP_09.01.004/2 kīrtayasva mahābhāga nityaṃ śuśrūṣatāṃ hi naḥ	Bhu-_09.01.004/2 kIrtayasva mahABAga nityam SuSrUzatAm hi naH
   BhP_09.01.005/1 ye bhūtā ye bhaviṣyāśca bhavantyadyatanāśca ye	Bhu-_09.01.005/1 ye BUtAH ye BavizyAH-ca Bavanti-adyatanAH-ca ye
   BhP_09.01.005/2 teṣāṃ naḥ puṇyakīrtīnāṃ sarveṣāṃ vada vikramān	Bhu-_09.01.005/2 tezAm naH puNya-kIrtInAm sarvezAm vada vikramAn
   BhP_09.01.006/0 śrīsūta uvāca	BhP_09.01.006/0 SrI-sUtaH uvAca
   BhP_09.01.006/1 evaṃ parīkṣitā rājñā sadasi brahmavādinām	Bhu-_09.01.006/1 evam parIkzitA rAjQA sadasi brahma-vAdinAm
   BhP_09.01.006/2 pṛṣṭaḥ provāca bhagavāñ chukaḥ paramadharmavit	Bhu-_09.01.006/2 pRzwaH provAca BagavAn CukaH parama-Darma-vid-
   BhP_09.01.007/0 śrīśuka uvāca	BhP_09.01.007/0 SrI-SukaH uvAca
   BhP_09.01.007/1 śrūyatāṃ mānavo vaṃśaḥ prācuryeṇa parantapa	Bhu-_09.01.007/1 SrUyatAm mAnavaH vaMSaH prAcuryeNa parantapa
   BhP_09.01.007/2 na śakyate vistarato vaktuṃ varṣaśatairapi	Bhu-_09.01.007/2 na Sakyate vistarataH vaktum varza-SatEH-api
   BhP_09.01.008/1 parāvareṣāṃ bhūtānāmātmā yaḥ puruṣaḥ paraḥ	Bhu-_09.01.008/1 parAvarezAm BUtAnAm-AtmA yaH puruzaH paraH
   BhP_09.01.008/2 sa evāsīdidaṃ viśvaṃ kalpānte 'nyan na kiñcana	Bhu-_09.01.008/2 saH eva-AsIt-idam viSvam kalpa-ante anyat na kiQcana
   BhP_09.01.009/1 tasya nābheḥ samabhavat padmakoṣo hiraṇmayaḥ	Bhu-_09.01.009/1 tasya nABeH samaBavat padma-kozaH hiraNmayaH
   BhP_09.01.009/2 tasmin jajñe mahārāja svayambhūścaturānanaḥ	Bhu-_09.01.009/2 tasmin jajQe mahA-rAja svayamBUH-caturAnanaH
   BhP_09.01.010/1 marīcirmanasastasya jajñe tasyāpi kaśyapaḥ	Bhu-_09.01.010/1 marIciH-manasaH-tasya jajQe tasya-api kaSyapaH
   BhP_09.01.010/2 dākṣāyaṇyāṃ tato 'dityāṃ vivasvān abhavat sutaḥ	Bhu-_09.01.010/2 dAkzAyaNyAm tatas adityAm vivasvAn aBavat sutaH
   BhP_09.01.011/1 tato manuḥ śrāddhadevaḥ saṃjñāyāmāsa bhārata	Bhu-_09.01.011/1 tatas manuH SrAdDadevaH saMjQAyAmAsa BArata
   BhP_09.01.011/2 śraddhāyāṃ janayāmāsa daśa putrān sa ātmavān	Bhu-_09.01.011/2 SradDAyAm janayAmAsa daSa putrAn saH AtmavAn
   BhP_09.01.012/1 ikṣvākunṛgaśaryāti diṣṭadhṛṣṭakarūṣakān	Bhu-_09.01.012/1 ikzvAku-nRga-SaryAti dizwa-DRzwa-karUzakAn
   BhP_09.01.012/2 nariṣyantaṃ pṛṣadhraṃ ca nabhagaṃ ca kaviṃ vibhuḥ	Bhu-_09.01.012/2 narizyantam pRzaDram ca naBagam ca kavim viBuH
   BhP_09.01.013/1 aprajasya manoḥ pūrvaṃ vasiṣṭho bhagavān kila	Bhu-_09.01.013/1 aprajasya manoH pUrvam vasizWaH BagavAn kila
   BhP_09.01.013/2 mitrāvaruṇayoriṣṭiṃ prajārthamakarodvibhuḥ	Bhu-_09.01.013/2 mitrAvaruNayoH-izwim prajA-arTam-akarot-viBuH
   BhP_09.01.014/1 tatra śraddhā manoḥ patnī hotāraṃ samayācata	Bhu-_09.01.014/1 tatra SradDA manoH patnI hotAram samayAcata
   BhP_09.01.014/2 duhitrarthamupāgamya praṇipatya payovratā	Bhu-_09.01.014/2 duhitR-arTam-upAgamya praNipatya payaH-vra-tA
   BhP_09.01.015/1 preṣito 'dhvaryuṇā hotā vyacarat tat samāhitaḥ	Bhu-_09.01.015/1 prezitaH aDvaryuNA hotA vyacarat tat samAhitaH
   BhP_09.01.015/2 gṛhīte haviṣi vācā vaṣaṭkāraṃ gṛṇan dvijaḥ	Bhu-_09.01.015/2 gRhIte havizi vAcA vazawkAram gRNan dvijaH
   BhP_09.01.016/1 hotustadvyabhicāreṇa kanyelā nāma sābhavat	BhP_09.01.016/1 hotuH-tad-vyaBicAreNa kanyelA nAma sA-Bavat
   BhP_09.01.016/2 tāṃ vilokya manuḥ prāha nātituṣṭamanā gurum	Bhu-_09.01.016/2 tAm vilokya manuH prAha na-ati-tuzwa-manAH gurum
   BhP_09.01.017/1 bhagavan kimidaṃ jātaṃ karma vo brahmavādinām	BhP_09.01.017/1 Bagavan kim-idam jAtam karma vaH brahma-vAdinAm
   BhP_09.01.017/2 viparyayamaho kaṣṭaṃ maivaṃ syādbrahmavikriyā	Bhu-_09.01.017/2 viparyayam-aho kazwam mA-evam syAt-brahma-vikriyA
