   Āryānityatā sūtram	Ārya-anitya-tA sUtram
   om namaḥ sarvajñāya	om namaH sarvajQAya
   evaṃ mayā śrutamekasmin samaye bhagavān śrāvastyāṃ viharati sma jetavane	evam mayA Srutam-ekasmin samaye BagavAn SrAvastyAm viharati sma jetavane
   'nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārddhaṃ	anATapiNxadasya-ArAme mahatA Bikzu-saMGena sArdDam
   trayodaśabhirbhikṣuśataiḥ / tatra khalu bhagavān bhikṣūnāmantrayate sma -	trayodaSaBiH-Bikzu-SatEH / tatra Kalu BagavAn BikzUn-Amantrayate sma -
   anityā bhikṣavaḥ sarvasaṃskārā adhruvā anāsvāsikā vipariṇāmadharmāṇaḥ /	anityAH BikzavaH sarva-saMskArAH aDruvA anAsvAsikAH vipariNAma-DarmANaH /
   yadyāvat bhikṣavaḥ sarvebhyaḥ saṃskārebhyo 'laṃ nirvartitumalaṃ	yat-yAvat BikzavaH sarveByaH saMskAreByaH alam nirvartitum-alam
   viraktamalaṃ vimoktum / sarveṣāṃ sattvānāṃ sarveṣāṃ bhūtānāṃ sarveṣāṃ	virakta-malam vimoktum / sarvezAm sattvAnAm sarvezAm BUtAnAm sarvezAm
   prāṇināṃ āmaraṇānta hi jīvita maraṇa paryavasānaṃ nāsti jātasyāmaraṇam /	prANinAm AmaraNa-anta hi jIvita maraNa paryavasAnam na-asti jAtasya-amaraNam /
   yepi te bhikṣavo gṛhapatayo mahāśālakulā brāhmaṇa mahāśālakulākṣatriya	yepi te BikzavaH gRhapatayaH mahASAla-kulAH brAhmaNa mahA-SAla-kula-Akzatriya
   mahāśālakulā āśāṃ mahādhano mahābhogāḥ	mahA-SAla-kulAH ASAm mahADanaH mahA-BogAH
   prabhūtamaṇimāṇikyamuktāvaiduryaśaṃkhaśilāpravālajātarūparajatavikaraṇāḥ	praBUta-maNi-mANikya-muktA-vEdurya-SaMKa-SilA-pravAla-jAta-rUpa-rajata-vikaraNAH
   prabhūtadhanadhānyakoṣakoṣṭhāgārasannicayāḥ prabhūtadāsīdāsakarmakara	praBUta-Dana-DAnya-koza-kozWa-AgAra-sannicayAH praBUta-dAsI-dAsa-karmakara
   paurūṣeyo prabhūtamitrāmātyajñātisālohitāsteṣāmapi maraṇāntaṃ	pOrUzeyaH praBUta-mitra-amAtya-jQAti-sa-AlohitAH-tezAm-api maraNa-antam
