   (Vaidya 75)	(VEdyaH 75)
   Vajracchedikā nāma	VajracCedikA nAma
   triśatikā prajñāpāramitā |	triSatikA prajQApAramitA |
   | namo bhagavatyā āryaprajñāpāramitāyai ||	| namaH BagavatyA Arya-prajQApAramitAyE ||
   evaṃ mayā śrutam | ekasmin samaye bhagavān śrāvastyāṃ viharati sma	evam mayA Srutam | ekasmin samaye BagavAn SrAvastyAm viharati sma
   jetavane' nāthapiṇḍadasyārāme mahatā bhikṣusaṃghena sārthaṃ	jetavane-a nATapiNxadasya-ArAme mahatA Bikzu-saMGena sArTam
   trayodaśabhirbhikṣuśataiḥ saṃbahulaiśca bodhisattvairmahāsattvaiḥ | atha	trayodaSaBiH-Bikzu-SatEH saMbahulEH-ca boDisattvEH-mahAsattvEH | aTa
   khalu bhagavān pūrvāhṇakālasamaye nivāsya pātracīvaramādāya śrāvastīṃ	Kalu BagavAn pUrvAhNa-kAla-samaye nivAsya pAtra-cIvaram-AdAya SrAvastIm
   mahānagarīṃ piṇḍāya prāvikṣat | atha khalu bhagavān śrāvastīṃ mahānagarīṃ	mahA-nagarIm piNxAya prAvikzat | aTa Kalu BagavAn SrAvastIm mahA-nagarIm
   piṇḍāya caritvā kṛtabhaktakṛtyaḥ paścādbhaktapiṇḍapātapratikrāntaḥ	piNxAya caritvA kRta-Bakta-kRtyaH paScAt-Bakta-piNxa-pAta-pratikrAntaH
   pātracīvaraṃ pratiśāmya pādau prakṣālya nyaṣīdatprajñapta evāsane	pAtra-cIvaram pratiSAmya pAdO prakzAlya nyazIdat-prajQapte eva-Asane
   paryaṅkamābhujya ṛjuṃ kāyaṃ praṇidhāya pratimukhīṃ smṛtimupasthāpya | atha	paryaFkam-ABujyaH Rjum kAyam praNiDAya pratimuKIm smRtim-upasTApya | aTa
   khalu saṃbahulā bhikṣavo yena bhagavāṃstenopasaṃkrāman | upasaṃkramya	Kalu saMbahulAH BikzavaH yena BagavAn=-tena-upasaMkrAman | upasaMkramya
   bhagavataḥ pādau śirobhirabhivandya bhagavantaṃ triṣpradakṣiṇīkṛtya ekānte	BagavataH pAdO SiroBiH-aBivandya Bagavantam trizpradakziNIkRtya ekAnte
   nyaṣīdan || 1 ||	nyazIdan || 1 ||
   tena khalu punaḥ samayenāyuṣmān subhutistasyāmeva parṣadi saṃnipatito	tena Kalu punar samayena-AyuzmAn suButiH-tasyAm-eva parzadi saMnipatitaH-
   'bhūtsaṃniṣaṇṇaḥ | atha khalvāyuṣmān	aBUt-saMnizaNNaH | aTa Kalu-AyuzmAn
   subhūtirutthāyāsanādekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ	suBUtiH-utTAya-AsanAt-eka-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam
   pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya	pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim praNamya
   bhagavantametadavocat - āścaryaṃ bhagavan, paramāścaryaṃ sugata, yāvadeva	Bagavantam-etat-avocat  AScaryam Bagavan, parama-AScaryam sugata, yAvat-eva
   tathāgatenārhatā samyaksaṃbuddhena bodhisattvā mahāsattvā anuparigṛhītāḥ	taTAgatena-arhatA samyaksaMbudDena boDisattvAH mahAsattvAH anuparigRhItAH
   parameṇānugraheṇa | āścaryaṃ bhagavan yāvadeva tathāgatenārhatā	parameNa-anugraheNa | AScaryam Bagavan yAvat-eva taTAgatena-arhatA
   samyaksaṃbuddhena bodhisattvā mahāsattvāḥ parīnditāḥ paramayā parīndanayā	samyaksaMbudDena boDisattvAH mahAsattvAH parInditAH paramayA parIndanayA
   | tatkathaṃ bhagavan bodhisattvayānasaṃprasthitena kulaputreṇa vā	| tat-kaTam Bagavan boDisattva-yAna-saMprasTitena kula-putreNa vA
   kuladuhitrā vā sthātavyaṃ kathaṃ pratipattavyaṃ kathaṃ cittaṃ	kula-duhitrA vA sTAtavyam kaTam pratipattavyam kaTam cittam
   pragrahītavyam?	pragrahItavyam?
   evamukte bhagavānāyuṣmantaṃ subhūtimetadavocat - sādhu sādhu subhūte,	evam-ukte BagavAn-Ayuzmantam suBUtim-etat-avocat  sADu sADu suBUte,
   evametatsubhūte, evametadyathā vadasi | anuparigṛhītāstathāgatena	evam-etat-suBUte, evam-etat-yaTA vadasi | anuparigRhItAH-taTAgatena
   bodhisattvā mahāsattvāḥ parameṇānugraheṇa | parīnditāstathāgatena	boDisattvAH mahAsattvAH parameNa-anugraheNa | parInditAH-taTAgatena
   bodhisattvā mahāsattvāḥ paramayā parīndanayā | tena hi subhūte śṛṇu, sādhu	boDisattvAH mahAsattvAH paramayA parIndanayA | tena hi suBUte SRNu, sADu
   ca suṣṭhu ca manasi kuru, bhāṣiṣye 'haṃ te - yathā	ca suzWu ca manasi kuru, BAzizye aham te  yaTA
   bodhisattvayānasaṃprasthitena sthātavyaṃ yathā pratipattavyaṃ yathā cittaṃ	boDisattva-yAna-saMprasTitena sTAtavyam yaTA pratipattavyam yaTA cittam
