   viṣayādhyāyaḥ	vizaya-aDyAyaH
   atha trividhaduḥkhātyantanivṛttiḥ atyanta puruṣārthaḥ | KapSs_1.1 |	aTa triviDa-duHKa-atyanta-nivRttiH atyanta puruza-arTaH | KapSs_1.1 |
   (paramapuruṣārthasvarūpaṃ)	(parama-puruza-arTa-svarUpaM)
   na dṛṣṭāt tatsiddhiḥ, nivṛtte 'pyanuvṛtti darśanāt | KapSs_1.2 |	na dRzwAt tad-sidDiH, nivRtte api-anuvRtti darSanAt | KapSs_1.2 |
   (laukikopāyaiḥ duḥkhanivṛttyanupapattiḥ)	(lOkika-upAyEH duHKa-nivRtti-anupapattiH)
   prātyahika kṣutpratīkāravat tatpratīkāra ceṣṭanāt puruṣārthatvaṃ |	prAtyahika kzuD-pratIkAra-vat tat-pratIkAra cezwanAt puruza-arTa-tvam |
   KapSs_1.3 |	KapSs_1.3 |
   (laukikopāyaiḥ duḥkhanivṛttyanupapattiḥ)	(lOkika-upAyEH duHKa-nivRtti-anupapattiH)
   sarvāsambhavāt, sambhave 'pi sattāsambhavāt heyaḥ pramāṇakuśalaiḥ |	sarva-asamBavAt, samBave api sattA-samBavAt heyaH pramANa-kuSalEH |
   KapSs_1.4 |	KapSs_1.4 |
   (laukikopāyaiḥ duḥkhanivṛttyanupapattiḥ)	(lOkika-upAyEH duHKa-nivRtti-anupapattiH)
   utkarṣādapi mokṣasya sarvotkarṣaśruteḥ | KapSs_1.5 |	utkarzAt-api mokzasya sarva-utkarza-SruteH | KapSs_1.5 |
   (laukikopāyaiḥ duḥkhanivṛttyanupapattiḥ)	(lOkika-upAyEH duHKa-nivRtti-anupapattiH)
   aviśeṣaścobhayoḥ | KapSs_1.6 |	aviSezaH-ca-uBayoH | KapSs_1.6 |
   (vaidikopāyānāmapi duḥkhanivṛttyanupāyatā)	(vEdika-upAyAnAm-api duHKa-nivRtti-anupAya-tA)
   na svabhāvato baddhasya mokṣasādhanopadeśavidhiḥ | KapSs_1.7 |	na svaBAvataH badDasya mokza-sADana-upadeSa-viDiH | KapSs_1.7 |
   (bandhasya svābhāvikatvānupapattiḥ)	(banDasya svABAvika-tva-anupapattiH)
   svabhāvasyānapāyitvāt, ananuṣṭhānalakṣaṇamaprāmāṇyaṃ | KapSs_1.8 |	svaBAvasya-anapAyi-tva-at, ananuzWAna-lakzaNam-aprAmANyam | KapSs_1.8 |
   (bandhasya svābhāvikatvānupapattiḥ)	(banDasya svABAvika-tva-anupapattiH)
   nāśakyopadeśavidhiḥ, upadiṣṭe 'pyanupadeśaḥ | KapSs_1.9 |	na-aSakyA-upadeSa-viDiH, upadizwe api-anupadeSaH | KapSs_1.9 |
