   // prameyādhyāyaḥ //	// prameya-aDyAyaH //
   // prathamamāhnikam //	// praTamam-Ahnikam //
   nyā. pa. prame. 1 evaṃ saparikaraṃ pramāṇaṃ viśodhitam /	nyA. pa. prame. 1 evam sa-parikaram pramANam viSoDitam /
   atha prameyaṃ pradarśayāmaḥ /	aTa prameyam pradarSayAmaH /
   tatra yat punaḥ ṣaṭsaptādirūpeṇa padārthān vibhajya	tatra yat punar zaz-sapta-Adi-rUpeNa padArTAn viBajya
   vaiśeṣikādayaścintayanti, tanna sākṣādapavargāṅgamiti tairevābhyupetam /	vESezika-AdayaH-cintayanti, tat-na sAkzAt-apavarga-aFgam-iti tEH-eva-aByupetam /
   api ca--- vidyamānaparityāgādasatāṃ ca parigrahāt /	api ca-- vidyamAna-parityAgAt-asatAm ca parigrahAt /
   vyāmohanā vimarśāste bahiṣkāryā mumukṣubhiḥ /	vyAmohanAH vimarSAH-te bahizkAryAH mumukzuBiH /
   sāvāntaravibhāgeṣu tattaccintāśrameṣviha /	sAvAntara-viBAgezu tat-tad-cintA-ASramezu-iha /
   avistarāya diṅmātraṃ doṣāṇāmabhidadhmahe //	avistarAya diS-mAtram dozANAm-aBidaDmahe //
   yat tatrāhuḥ--- "abhidheyaḥ padārthaḥ /	yat tatra-AhuH-- "aBiDeyaH padArTaH /
   sa ca bhāvābhāvabhedena dvidhā" iti, tat tāvat "asadvyapadeśānneti cenna,	sa ca BAva-aBAva-Bedena dviDA" iti, tat tAvat "asat-vyapadeSAt-na-iti ced-na,
   dharmāntareṇa vākyaśeṣādyukteḥ, śabdāntarācca"	Darma-antareNa vAkya-Seza-Adi-ukteH, Sabda-antarAt-ca"
   ityārambhaṇādhikaraṇasūtreṇābhāvasya parābhyupagatābhāvābhāvasyeva	iti-AramBaNa-aDikaraNa-sUtreNa-aBAvasya para-aByupagata-aBAva-aBAvasya-iva
   bhāvāntaratvasamarthanāt pratikṣiptam /	BAva-antara-tva-samarTanAt pratikziptam /
