   LiP, 1, 1	Li P, 1, 1
   namo rudrāya haraye brahmaṇe paramātmane /	namaH rudrAya haraye brahmaNe paramAtmane /
   pradhānapuruṣeśāya sargasthityantakāriṇe // LiP_1,1.1 //	praDAna puruza ISAya sarga sTiti anta kAriNe // LiS _1,1.1 //
   nārado 'bhyarcya śaileśe śaṅkaraṃ saṅgameśvare /	nAradaH aByarcya SEleSe SaFkaram saFgameSvare /
   hiraṇyagarbhe svarlīne hy avimukte mahālaye // LiP_1,1.2 //	hiraNyagarBe svarlIne hi avimukte mahA Alaye // LiS _1,1.2 //
   raudre goprekṣake caiva śreṣṭhe pāśupate tathā /	rOdre go prekzake ca eva SrezWe pASupate taTA /
   vighneśvare ca kedāre tathā gomāyukeśvare // LiP_1,1.3 //	viGneSvare ca kedAre taTA gomAyukeSvare // LiS _1,1.3 //
   hiraṇyagarbhe candreśe īśānye ca triviṣṭape /	hiraNyagarBe candreSe ISAnye ca trivizwape /
   śukreśvare yathānyāyaṃ naimiṣaṃ prayayau muniḥ // LiP_1,1.4 //	SukreSvare yaTAnyAyam nEmizam prayayO muniH // LiS _1,1.4 //
   naimiṣeyāstadā dṛṣṭvā nāradaṃ hṛṣṭamānasāḥ /	nEmizeyAH tadA dRzwvA nAradam hRzwa mAnasAH /
   samabhyarcyāsanaṃ tasmai tadyogyaṃ samakalpayan // LiP_1,1.5 //	samaByarcya Asanam tasmE tad yogyam samakalpayan // LiS _1,1.5 //
   so 'pi hṛṣṭo munivarair dattaṃ bheje tadāsanam /	saH api hRzwaH muni varEH dattam Beje tad A Asanam /
   sampūjyamāno munibhiḥ sukhāsīno varāsane // LiP_1,1.6 //	sampUjyamAnaH muniBiH suKa AsInaH varAsane // LiS _1,1.6 //
   cakre kathāṃ vicitrārthāṃ liṅgamāhātmyamāśritām /	cakre kaTAm vicitra arTAm liFga mAhAtmyam ASritAm /
   etasminnevakāle tu sūtaḥ paurāṇikaḥ svayam // LiP_1,1.7 //	etasmin= eva kAle tu sUtaH pOrANikaH svayam // LiS _1,1.7 //
   jagāma naimiṣaṃ dhīmān praṇāmārthaṃ tapasvinām /	jagAma nEmizam DImAn praNAma arTam tapasvinAm /
   tasmai sāma ca pūjāṃ ca yathāvaccakrire tadā // LiP_1,1.8 //	tasmE sAma ca pUjAm ca yaTAvat cakrire tadA // LiS _1,1.8 //
   naimiṣeyāstu śiṣyāya kṛṣṇadvaipāyanasya tu /	nEmizeyAH tu SizyAya kRzNadvEpAyanasya tu /
   atha teṣāṃ purāṇasya śuśrūṣā samapadyata // LiP_1,1.9 //	aTa tezAm purANasya SuSrUzA samapadyata // LiS _1,1.9 //
   dṛṣṭvā tam ativiśvastaṃ vidvāṃsaṃ romaharṣaṇam /	dRzwvA tam ati viSvastam vidvAMsam roma harzaNam /
   apṛcchaṃśca tataḥ sūtam ṛṣiṃ sarve tapodhanāḥ // LiP_1,1.10 //	apRcCan= ca tatas sUtam Rzim sarve tapoDanAH // LiS _1,1.10 //
   purāṇasaṃhitāṃ puṇyāṃ liṅgamāhātmyasaṃyutām /	purANa saMhitAm puNyAm liFga mAhAtmya saMyutAm /
   naimiṣeyā ūcuḥ	nEmizeyAH UcuH
   tvayā sūta mahābuddhe kṛṣṇadvaipāyano muniḥ // LiP_1,1.11 //	tvayA sUta mahAbudDe kRzNadvEpAyanaH muniH // LiS _1,1.11 //
   upāsitaḥ purāṇārthaṃ labdhā tasmācca saṃhitā /	upAsitaH purANa arTam labDA tasmAt ca saMhitA /
   tasmādbhavantaṃ pṛcchāmaḥ sūta paurāṇikottamam // LiP_1,1.12 //	tasmAt Bavantam pRcCAmaH sUta pOrANika uttamam // LiS _1,1.12 //
   purāṇasaṃhitāṃ divyāṃ liṅgamāhātmyasaṃyutām /	purANa saMhitAm divyAm liFga mAhAtmya saMyutAm /
   nārado 'pyasya devasya rudrasya paramātmanaḥ // LiP_1,1.13 //	nAradaH api asya devasya rudrasya paramAtmanaH // LiS _1,1.13 //
   kṣetrāṇyāsādya cābhyarcya liṅgāni munipuṅgavaḥ /	kzetrANi AsAdya ca aByarcya liFgAni muni puFgavaH /
   iha saṃnihitaḥ śrīmān nārado brahmaṇaḥ sutaḥ // LiP_1,1.14 //	iha saMnihitaH SrImAn nAradaH brahmaNaH sutaH // LiS _1,1.14 //
   bhavabhakto bhavāṃścaiva vayaṃ vai nāradastathā /	Bava BaktaH BavAn= ca eva vayam vE nAradaH taTA /
   asyāgrato muneḥ puṇyaṃ purāṇaṃ vaktumarhasi // LiP_1,1.15 //	asya agratas muneH puNyam purANam vaktum arhasi // LiS _1,1.15 //
   saphalaṃ sādhitaṃ sarvaṃ bhavatā viditaṃ bhavet /	saPalam sADitam sarvam BavatA viditam Bavet /
   evamuktaḥ sa hṛṣṭātmā sūtaḥ paurāṇikottamaḥ // LiP_1,1.16 //	evam uktaH sa hRzwa AtmA sUtaH pOrANika uttamaH // LiS _1,1.16 //
   abhivādyāgrato dhīmān nāradaṃ brahmaṇaḥ sutam /	aBivAdya agratas DImAn nAradam brahmaNaH sutam /
   naimiṣeyāṃśca puṇyātmā purāṇaṃ vyājahāra saḥ // LiP_1,1.17 //	nEmizeyAn= ca puNya AtmA purANam vyAjahAra saH // LiS _1,1.17 //
   sūta uvāca	sUtaH uvAca
   namaskṛtya mahādevaṃ brahmāṇaṃ ca janārdanam /	namaskRtya mahAdevam brahmANam ca janArdanam /
   munīśvaraṃ tathā vyāsaṃ vaktuṃ liṅgaṃ smarāmyaham // LiP_1,1.18 //	muni ISvaram taTA vyAsam vaktum liFgam smarAmi aham // LiS _1,1.18 //
   śabdaṃ brahmatanuṃ sākṣāc chabdabrahmaprakāśakam /	Sabdam brahma tanum sAkzAt Sabdabrahma prakASakam /
   varṇāvayavam avyakta  lakṣaṇaṃ bahudhā sthitam // LiP_1,1.19 //	varNa avayavam avyakta lakzaNam bahuDA sTitam // LiS _1,1.19 //
   akārokāramakāraṃ sthūlaṃ sūkṣmaṃ parātparam /	akAra ukAra makAram sTUlam sUkzmam parAtparam /
   oṅkārarūpam ṛgvaktraṃ samajihvāsamanvitam // LiP_1,1.20 //	oFkAra rUpam Rc vaktram sama jihvA samanvitam // LiS _1,1.20 //
   yajurvedamahāgrīvam atharvahṛdayaṃ vibhum /	yajurveda mahA grIvam aTarva hRdayam viBum /
   pradhānapuruṣātītaṃ pralayotpattivarjitam // LiP_1,1.21 //	praDAna puruza atItam pralaya utpatti varjitam // LiS _1,1.21 //
   tamasā kālarudrākhyaṃ rajasā kanakāṇḍajam /	tamasA kAlarudra AKyam rajasA kanaka aNxa jam /
   sattvena sarvagaṃ viṣṇuṃ nirguṇatve maheśvaram // LiP_1,1.22 //	sattvena sarvagam vizNum nirguNa tve maheSvaram // LiS _1,1.22 //
   pradhānāvayavaṃ vyāpya saptadhādhiṣṭhitaṃ kramāt /	praDAna avayavam vyApya saptaDA aDizWitam kramAt /
   punaḥ ṣoḍaśadhā caiva ṣaḍviṃśakam ajodbhavam // LiP_1,1.23 //	punar zoxaSaDA ca eva zaxviMSakam aja udBavam // LiS _1,1.23 //
   sargapratiṣṭhāsaṃhāra  līlārthaṃ liṅgarūpiṇam /	sarga pratizWA saMhAra lIlA arTam liFga rUpiNam /
   praṇamya ca yathānyāyaṃ vakṣye liṅgodbhavaṃ śubham // LiP_1,1.24 //	praNamya ca yaTAnyAyam vakzye liFga udBavam SuBam // LiS _1,1.24 //
   iti śrīlaiṅge mahāpurāṇe prathamo 'dhyāyaḥ	iti SrI lEFge mahApurANe praTamaH aDyAyaH
   LiP, 1, 2	Li P, 1, 2
   sūta uvāca	sUtaH uvAca
   īśānakalpavṛttāntam adhikṛtya mahātmanā /	ISAna kalpa vRttAntam aDikRtya mahAtmanA /
   brahmaṇā kalpitaṃ pūrvaṃ purāṇaṃ laiṅgam uttamam // LiP_1,2.1 //	brahmaNA kalpitam pUrvam purANam lEFgam uttamam // LiS _1,2.1 //
   granthakoṭipramāṇaṃ tu śatakoṭipravistare /	granTa kowi pramANam tu Sata kowi pravistare /
   caturlakṣeṇa saṃkṣipte vyāsaiḥ sarvāntareṣu vai // LiP_1,2.2 //	catur lakzeNa saMkzipte vyAsEH sarva antarezu vE // LiS _1,2.2 //
   vyasteṣṭā daśadhā caiva brahmādau dvāparādiṣu /	vyastezwA daSaDA ca eva brahma AdO dvApara Adizu /
   liṅgamekādaśaṃ proktaṃ mayā vyāsācchrutaṃ ca tat // LiP_1,2.3 //	liFgam ekAdaSam proktam mayA vyAsAt Srutam ca tat // LiS _1,2.3 //
   asyaikādaśasāhasre granthamānamiha dvijāḥ /	asya ekAdaSa sAhasre granTa mAnam iha dvijAH /
   tasmātsaṃkṣepato vakṣye na śrutaṃ vistareṇa yat // LiP_1,2.4 //	tasmAt saMkzepataH vakzye na Srutam vistareNa yat // LiS _1,2.4 //
   caturlakṣeṇa saṃkṣipte kṛṣṇadvaipāyanena tu /	catur lakzeNa saMkzipte kRzNadvEpAyanena tu /
   atraikādaśasāhasraiḥ kathito liṅgasambhavaḥ // LiP_1,2.5 //	atra ekAdaSa sAhasrEH kaTitaH liFga samBavaH // LiS _1,2.5 //
   sargaḥ prādhānikaḥ paścāt prākṛto vaikṛtāni ca /	sargaH prADAnikaH paScAt prAkRtaH vEkRtAni ca /
   aṇḍasyāsya ca sambhūtir aṇḍasyāvaraṇāṣṭakam // LiP_1,2.6 //	aNxasya asya ca samBUtiH aNxasya AvaraNa azwakam // LiS _1,2.6 //
   aṇḍodbhavatvaṃ śarvasya rajoguṇasamāśrayāt /	aNxa udBava tvam Sarvasya rajaH guNa samASrayAt /
   viṣṇutvaṃ kālarudratvaṃ śayanaṃ cāpsu tasya ca // LiP_1,2.7 //	vizNu tvam kAlarudra tvam Sayanam ca apsu tasya ca // LiS _1,2.7 //
   prajāpatīnāṃ sargaś ca pṛthivyuddharaṇaṃ tathā /	prajApatInAm sargaH ca pRTivI udDaraNam taTA /
   brahmaṇaś ca divārātram āyuṣo gaṇanaṃ punaḥ // LiP_1,2.8 //	brahmaNaH ca divArAtram AyuzaH gaNanam punar // LiS _1,2.8 //
   savanaṃ brahmaṇaścaiva yugakalpaś ca tasya tu /	savanam brahmaNaH ca eva yuga kalpaH ca tasya tu /
   divyaṃ ca mānuṣaṃ varṣam ārṣaṃ vai dhrauvyameva ca // LiP_1,2.9 //	divyam ca mAnuzam varzam Arzam vE DrOvyam eva ca // LiS _1,2.9 //
   pitryaṃ pitṝṇāṃ sambhūtir dharmaścāśramiṇāṃ tathā /	pitryam pitLNAm samBUtiH DarmaH ca ASramiNAm taTA /
   avṛddhirjagato bhūyo devyāḥ śaktyudbhavastathā // LiP_1,2.10 //	avRdDiH jagataH BUyas devyAH Sakti udBavaH taTA // LiS _1,2.10 //
   strīpumbhāvo viriñcasya sargo mithunasambhavaḥ /	strI pumBAvaH viriQcasya sargaH miTuna samBavaH /
   ākhyāṣṭakaṃ hi rudrasya kathitaṃ rodanāntare // LiP_1,2.11 //	AKyA azwakam hi rudrasya kaTitam rodana antare // LiS _1,2.11 //
   brahmaviṣṇuvivādaś ca punarliṅgasya sambhavaḥ /	brahma vizNu vivAdaH ca punar liFgasya samBavaH /
   śilādasya tapaścaiva vṛtrārerdarśanaṃ tathā // LiP_1,2.12 //	SilAdasya tapaH ca eva vRtrAreH darSanam taTA // LiS _1,2.12 //
   prārthanā yonijasyātha durlabhatvaṃ sutasya tu /	prArTanA yonijasya aTa durlaBa tvam sutasya tu /
   śilādaśakrasaṃvādaḥ padmayonitvameva ca // LiP_1,2.13 //	SilAda Sakra saMvAdaH padmayoni tvam eva ca // LiS _1,2.13 //
   bhavasya darśanaṃ caiva tiṣyeṣvācāryaśiṣyayoḥ /	Bavasya darSanam ca eva tizyezu AcArya SizyayoH /
   vyāsāvatārāś ca tathā kalpamanvantarāṇi ca // LiP_1,2.14 //	vyAsa avatArAH ca taTA kalpa manvantarANi ca // LiS _1,2.14 //
   kalpatvaṃ caiva kalpānām ākhyābhedeṣvanukramāt /	kalpa tvam ca eva kalpAnAm AKyA Bedezu anukramAt /
   kalpeṣu kalpe vārāhe vārāhatvaṃ hares tathā // LiP_1,2.15 //	kalpezu kalpe vArAhe vArAha tvam hareH taTA // LiS _1,2.15 //
   meghavāhanakalpasya vṛttāntaṃ rudragauravam /	meGavAhana kalpasya vRttAntam rudra gOravam /
   punarliṅgodbhavaścaiva ṛṣimadhye pinākinaḥ // LiP_1,2.16 //	punar liFga udBavaH ca eva Rzi maDye pinAkinaH // LiS _1,2.16 //
   liṅgasyārādhanaṃ snāna  vidhānaṃ śaucalakṣaṇam /	liFgasya ArADanam snAna viDAnam SOca lakzaNam /
   vārāṇasyāś ca māhātmyaṃ kṣetramāhātmyavarṇanam // LiP_1,2.17 //	vArANasyAH ca mAhAtmyam kzetra mAhAtmya varNanam // LiS _1,2.17 //
   bhuvi rudrālayānāṃ tu saṃkhyā viṣṇorgṛhasya ca /	Buvi rudra AlayAnAm tu saMKyA vizNoH gRhasya ca /
   antarikṣe tathāṇḍe 'smin devāyatanavarṇanam // LiP_1,2.18 //	antarikze taTA aNxe asmin devAyatana varNanam // LiS _1,2.18 //
   dakṣasya patanaṃ bhūmau punaḥ svārociṣe 'ntare /	dakzasya patanam BUmO punar svArocize antare /
   dakṣaśāpaś ca dakṣasya śāpamokṣastathaiva ca // LiP_1,2.19 //	dakza SApaH ca dakzasya SApa mokzaH taTA eva ca // LiS _1,2.19 //
   kailāsavarṇanaṃ caiva yogaḥ pāśupatas tathā /	kElAsa varNanam ca eva yogaH pASupataH taTA /
   caturyugapramāṇaṃ ca yugadharmaḥ suvistaraḥ // LiP_1,2.20 //	caturyuga pramANam ca yuga DarmaH su vistaraH // LiS _1,2.20 //
   saṃdhyāṃśakapramāṇaṃ ca saṃdhyāvṛttaṃ bhavasya ca /	saMDyAMSaka pramANam ca saMDyA vRttam Bavasya ca /
   śmaśānanilayaścaiva candrarekhāsamudbhavaḥ // LiP_1,2.21 //	SmaSAna nilayaH ca eva candra reKA samudBavaH // LiS _1,2.21 //
   udvāhaḥ śaṃkarasyātha putrotpādanameva ca /	udvAhaH SaMkarasya aTa putra utpAdanam eva ca /
   maithunātiprasaṅgena vināśo jagatāṃ bhayam // LiP_1,2.22 //	mETuna atiprasaFgena vinASaH jagatAm Bayam // LiS _1,2.22 //
   śāpaḥ satyā kṛto devān  purā viṣṇuṃ ca pālitam /	SApaH satyA kRtaH devAn purA vizNum ca pAlitam /
   śukrotsargastu rudrasya gāṅgeyodbhava eva ca // LiP_1,2.23 //	Sukra utsargaH tu rudrasya gAFgeya udBavaH eva ca // LiS _1,2.23 //
   grahaṇādiṣu kāleṣu snāpya liṅgaṃ phalaṃ tathā /	grahaNa Adizu kAlezu snApya liFgam Palam taTA /
   kṣubdhadhī ca vivādaś ca dadhīcopendrayos tathā // LiP_1,2.24 //	kzubDaDI ca vivAdaH ca daDIca upendrayoH taTA // LiS _1,2.24 //
   utpattirnandināmnā tu devadevasya śūlinaḥ /	utpattiH nandi nAmnA tu devadevasya SUlinaH /
   pativratāyāścākhyānaṃ paśupāśavicāraṇā // LiP_1,2.25 //	pativratAyAH ca AKyAnam paSu pASa vicAraNAH // LiS _1,2.25 //
   pravṛttilakṣaṇaṃ jñānaṃ nivṛttyadhikṛtā tathā /	pravRtti lakzaNam jQAnam nivRtti aDikRtA taTA /
   vasiṣṭhatanayotpattir vāsiṣṭhānāṃ mahātmanām // LiP_1,2.26 //	vasizWa tanaya utpattiH vAsizWAnAm mahAtmanAm // LiS _1,2.26 //
   munīnāṃ vaṃśavistāro rājñāṃ śaktervināśanam /	munInAm vaMSa vistAraH rAjQAm SakteH vinASanam /
   daurātmyaṃ kauśikasyātha surabherbandhanaṃ tathā // LiP_1,2.27 //	dOrAtmyam kOSikasya aTa suraBeH banDanam taTA // LiS _1,2.27 //
   sutaśoko vasiṣṭhasya arundhatyāḥ pralāpanam /	suta SokaH vasizWasya arunDatyAH pralApanam /
   snuṣāyāḥ preṣaṇaṃ caiva garbhasthasya vacas tathā // LiP_1,2.28 //	snuzAyAH prezaNam ca eva garBa sTasya vacaH taTA // LiS _1,2.28 //
   parāśarasyāvatāro vyāsasya ca śukasya ca /	parASarasya avatAraH vyAsasya ca Sukasya ca /
   vināśo rākṣasānāṃ ca kṛto vai śaktisūnunā // LiP_1,2.29 //	vinASaH rAkzasAnAm ca kRtaH vE Sakti sUnunA // LiS _1,2.29 //
   devatāparamārthaṃ tu vijñānaṃ ca prasādataḥ /	devatA parama arTam tu vijQAnam ca prasAdataH /
   purāṇakaraṇaṃ caiva pulastyasyājñayā guroḥ // LiP_1,2.30 //	purANa karaNam ca eva pulastyasya AjQayA guroH // LiS _1,2.30 //
   bhuvanānāṃ pramāṇaṃ ca grahāṇāṃ jyotiṣāṃ gatiḥ /	BuvanAnAm pramANam ca grahANAm jyotizAm gatiH /
   jīvacchrāddhavidhānaṃ ca śrāddhārhāḥ śrāddhameva ca // LiP_1,2.31 //	jIvacCrAdDa viDAnam ca SrAdDa arhAH SrAdDam eva ca // LiS _1,2.31 //
   nāndīśrāddhavidhānaṃ ca tathādhyayanalakṣaṇam /	nAndI SrAdDa viDAnam ca taTA aDyayana lakzaNam /
   pañcayajñaprabhāvaś ca pañcayajñavidhis tathā // LiP_1,2.32 //	paQcayajQa praBAvaH ca paQcayajQa viDiH taTA // LiS _1,2.32 //
   rajasvalānāṃ vṛttiś ca vṛttyā putraviśiṣṭatā /	rajasvalAnAm vRttiH ca vRttyA putra viSizwa tA /
   maithunasya vidhiścaiva prativarṇamanukramāt // LiP_1,2.33 //	mETunasya viDiH ca eva prativarNam anukramAt // LiS _1,2.33 //
   bhojyābhojyavidhānaṃ ca sarveṣāmeva varṇinām /	Bojya aBojya viDAnam ca sarvezAm eva varNinAm /
   prāyaścittam aśeṣasya pratyekaṃ caiva vistarāt // LiP_1,2.34 //	prAyaScittam aSezasya pratyekam ca eva vistarAt // LiS _1,2.34 //
   narakāṇāṃ svarūpaṃ ca daṇḍaḥ karmānurūpataḥ /	narakANAm svarUpam ca daNxaH karma anurUpataH /
   svarginārakiṇāṃ puṃsāṃ cihnaṃ janmāntareṣu ca // LiP_1,2.35 //	svargi nArakiNAm puMsAm cihnam janma antarezu ca // LiS _1,2.35 //
   nānāvidhāni dānāni pretarājapuraṃ tathā /	nAnAviDAni dAnAni pretarAja puram taTA /
   kalpaṃ pañcākṣarasyātha rudramāhātmyameva ca // LiP_1,2.36 //	kalpam paQcAkzarasya aTa rudra mAhAtmyam eva ca // LiS _1,2.36 //
   vṛtrendrayormahāyuddhaṃ viśvarūpavimardanam /	vRtra indrayoH mahA yudDam viSva rUpa vimardanam /
   śvetasya mṛtyoḥ saṃvādaḥ śvetārthe kālanāśanam // LiP_1,2.37 //	Svetasya mRtyoH saMvAdaH Sveta arTe kAla nASanam // LiS _1,2.37 //
   devadāruvane śambhoḥ praveśaḥ śaṃkarasya tu /	devadAru vane SamBoH praveSaH SaMkarasya tu /
   sudarśanasya cākhyānaṃ kramasaṃnyāsalakṣaṇam // LiP_1,2.38 //	sudarSanasya ca AKyAnam krama saMnyAsa lakzaNam // LiS _1,2.38 //
